Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 2 - Indicadores do Volume de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Brasil ,2.3,1.3,1,-1.5,1.3,4,-1.5,-0.2,1.3,1.3,1.7,1.9
Rondônia,-1.1,8.4,0.6,6.5,4.3,8,6.5,5.4,6.3,8.2,8.6,7.3
Acre,-1.3,5.7,-0.4,-5.3,16.4,2.8,-5.3,4.3,3.8,2.6,4.7,3.7
Amazonas,-2.7,1.1,-3.2,35.7,21.7,-6.8,35.7,28.5,13.9,2.8,5.4,3.2
Roraima,1,5.2,2.8,7.5,17.9,11.9,7.5,12.4,12.2,6.2,7.5,6.9
Pará,2.8,2.4,0,3.3,9.5,16.1,3.3,6.2,9.4,6.5,6.9,7.4
Amapá,-4.8,9.3,2.5,-10.8,0.4,17.9,-10.8,-5.5,1.4,6.6,5.9,6.4
Tocantins,-1.2,-3.8,-0.8,-0.9,-2.3,6.7,-0.9,-1.6,1.2,-7.6,-6.3,-4.1
Maranhão,0.3,4.7,0.3,-4.6,2.1,2.8,-4.6,-1.4,0,-2.3,-2.1,-2.7
Piauí,0.3,1.5,2.1,0.8,-5.2,5.7,0.8,-2.2,0.4,9.5,8,7.2
Ceará,-0.6,2.9,-0.6,-4.5,1.3,20.4,-4.5,-1.8,4.8,-3.3,-2.7,-0.9
Rio Grande do Norte,-2.5,4.2,0.9,-7.7,-2.3,1.7,-7.7,-5.1,-2.8,-1.3,-1,-1
Paraíba,1.8,2.2,1.3,-6.9,-2.7,0.3,-6.9,-4.9,-3.2,-4.3,-3.9,-3.8
Pernambuco,3.6,0.8,2.5,-7.7,-7.4,1.7,-7.7,-7.6,-4.5,0.5,-0.2,-0.5
Alagoas,4,1.7,1.4,1,1.4,3.6,1,1.2,2,-0.5,0.3,0.3
Sergipe,0.5,1.9,1.3,-8.9,-6.9,-4.4,-8.9,-8,-6.8,-4.3,-4.4,-5
Bahia,3.6,3.1,-1.2,-7.6,-3.4,5.7,-7.6,-5.5,-1.9,-1,-0.8,-0.3
Minas Gerais,-1.2,4.3,1.2,-7,2,4.3,-7,-2.8,-0.4,1.6,1.7,1.7
Espírito Santo,1.8,2.3,1.1,6.8,9.7,10,6.8,8.2,8.8,7.1,7.8,7.7
Rio de Janeiro,3.6,0.6,-0.3,-1,0.9,-3.5,-1,-0.1,-1.3,-0.3,0.4,-0.4
São Paulo,1.3,1.6,2.1,-1.1,-0.2,2.4,-1.1,-0.7,0.4,2.1,2.2,2.4
Paraná,0.4,1.5,0.6,-2,-0.5,3.6,-2,-1.3,0.4,-0.4,-0.1,0.3
Santa Catarina,-0.6,1.8,1.3,0.4,1.6,3.4,0.4,1,1.8,1.5,1.9,1.6
Rio Grande do Sul,0.2,1.1,1.6,5.2,8.7,10.9,5.2,6.9,8.3,4,5.6,6.7
Mato Grosso do Sul,-2,5.8,1.3,0.5,7.1,8.7,0.5,3.7,5.4,5.6,6.1,6.1
Mato Grosso,-0.9,2.2,1.7,5.8,2.9,5.3,5.8,4.3,4.7,0.4,1.2,1.7
Goiás,1,2.4,3,-5.2,-2,13.3,-5.2,-3.7,1.8,-0.7,-0.5,0.8
Distrito Federal,1.9,4.8,-1.5,-8.1,2.2,19.6,-8.1,-3.2,4,-5,-3.6,-1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
