Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 1 - Indicadores do Volume de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Volume de vendas do comércio varejista (5),1.4,0.8,0.1,4.9,4.5,-0.2,1.6,2.3,1.8,1.9,0.7,-0.4
1. Combustíveis e lubrificantes,4.7,0.8,2.1,12.3,9.8,7.1,1.7,3.8,4.5,2.5,1.9,1.1
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0,-0.9,1,-3.4,4.1,-0.5,-0.9,0.4,0.2,-2.3,-1.8,-1.5
2.1. Hipermercados e supermercados,0.1,-1.4,2,-3.8,4,-0.6,-1.2,0.1,-0.1,-2.3,-1.9,-1.6
"3. Tecidos, vestuário e calçados",0.3,2,3.5,81.3,33.9,8.3,24.1,26.7,21.3,23.5,19.4,12.9
4. Móveis e eletrodomésticos,0.9,2.2,-3,7.2,-8.7,-12.6,-6.3,-6.9,-8.2,-8.7,-12,-14.3
4.1. Móveis,-,-,-,8.3,-6.7,-9.5,-1.9,-3.2,-4.6,-3.3,-7,-9.7
4.2. Eletrodomésticos,-,-,-,6.4,-10.2,-14.5,-8.5,-8.9,-10.2,-11.1,-14.3,-16.5
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",-3.9,1,3.6,3.6,3.5,9.2,8.9,7.6,7.9,9.2,7.2,6.5
"6. Livros, jornais, revistas e papelaria",4.2,-5.2,5.5,40.6,-0.9,25.8,25.8,20.5,21.3,9.7,5.8,4.9
"7. Equipamentos e materiais para escritório, informática e comunicação",14.4,-5.7,2,16.5,-0.4,2,0.2,0.1,0.5,0.2,-2.3,-4.1
8. Outros artigos de uso pessoal e doméstico,-1.5,0,-2.2,8.9,1.1,-7.1,0.9,0.9,-0.9,9.9,5.6,1.7
Volume de vendas do comércio varejista ampliado (6),-0.3,0.5,0.2,5.3,1.6,-0.7,1.4,1.5,1,4.5,2.2,0.3
"9. Veículos, motocicletas, partes e peças",0.5,0,-0.2,8.5,-1.8,0.8,3.9,2.4,2.1,15.9,10,6
10. Material de construção,1.7,-2.3,-1.1,1.2,-9.9,-7.7,-4.8,-6,-6.4,-1,-4.1,-6.4
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
