Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 6 - Indicadores de Receita Nominal de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Receita de vendas do comércio varejista (5),2.7,2.6,2.9,11,14.3,18.1,11,12.6,14.5,14,14.7,15
1. Combustíveis e lubrificantes,-0.7,4.4,4.7,34,34,36.3,34,34,34.9,39.5,43,44.1
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0.9,3.4,2.8,7.5,12.2,9.4,7.5,9.8,9.7,8.9,9.1,9
2.1. Hipermercados e supermercados,1.3,3.3,2.8,7.4,11.5,8.7,7.4,9.4,9.2,9,9,8.9
"3. Tecidos, vestuário e calçados",-2.7,5.1,1.7,13.8,20.8,105.9,13.8,17.2,39.2,23,26.5,32.6
4. Móveis e eletrodomésticos,0.4,3.2,0.3,-0.1,-1.1,21.3,-0.1,-0.6,6.2,3.1,2.3,2.4
4.1. Móveis,-,-,-,4.1,7.3,26.4,4.1,5.6,12.2,7.4,7.6,8.2
4.2. Eletrodomésticos,-,-,-,-1.7,-4.5,19.2,-1.7,-3,3.8,1.6,0.3,0.2
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",9.3,-3.9,-4.2,21,16.4,10.2,21,18.8,15.7,13.9,14.5,14.5
"6. Livros, jornais, revistas e papelaria",-30.2,92.7,3.3,29.2,24.7,45.7,29.2,27,31.5,-1.4,8.2,13.3
"7. Equipamentos e materiais para escritório, informática e comunicação",-1.9,0.1,13.3,-5.8,-4.8,19.9,-5.8,-5.3,3.1,4.1,3.5,4.2
8. Outros artigos de uso pessoal e doméstico,11,2.4,-0.9,5.1,12.9,22.6,5.1,8.6,13.1,20.6,20.9,20.2
Receita de vendas do comércio varejista ampliado (6),2,3.3,0.4,12,14.5,19.3,12,13.2,15.3,18.4,18.8,18.6
"9. Veículos, motocicletas, partes e peças",-4.7,6.3,0.4,18.5,19.6,25.6,18.5,19.1,21.4,32.2,33.4,32.2
10. Material de construção,0.2,2.6,2.8,7.7,6.5,16.1,7.7,7.1,10.3,25.8,23.2,20.3
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas  ",,,,,,,,,,,,
(1) Base: mês imediatamente anterior -série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
