Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 1 - Indicadores do Volume de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Fevereiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,DEZ,JAN,FEV,DEZ,JAN,FEV,JAN-DEZ,JAN-JAN,JAN-FEV,Até DEZ,Até JAN,Até FEV
Volume de vendas do comércio varejista (5),-2.6,2.1,1.1,-2.9,-1.5,1.3,1.4,-1.5,-0.1,1.4,1.3,1.7
1. Combustíveis e lubrificantes,-0.3,0.3,5.3,-6.2,-7,0.1,0.3,-7,-3.6,0.3,0.4,1.3
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",-0.4,0.3,1.4,-0.4,-1,2,-2.6,-1,0.5,-2.6,-2.8,-2.3
2.1. Hipermercados e supermercados,-0.5,0.2,1.1,-0.6,-1.1,1.5,-2.4,-1.1,0.1,-2.4,-2.7,-2.3
"3. Tecidos, vestuário e calçados",-5.6,4,2.1,-1,2.4,8,13.7,2.4,5.1,13.7,16.1,18.6
4. Móveis e eletrodomésticos,-1.3,-1.3,2.3,-17.9,-11.4,-12.6,-7,-11.4,-11.9,-7,-7.5,-8.5
4.1. Móveis,-,-,-,-14.9,-7.7,-5.5,-1.9,-7.7,-6.6,-1.9,-2.3,-2.9
4.2. Eletrodomésticos,-,-,-,-19.9,-13.2,-16.1,-9.2,-13.2,-14.6,-9.2,-9.7,-11
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",2.6,8.3,-5.6,7.7,14.2,9.4,9.8,14.2,11.9,9.8,9.9,10
"6. Livros, jornais, revistas e papelaria",-0.4,-25.7,42.8,-5.9,23.2,18.5,-16.8,23.2,21,-16.8,-4,5
"7. Equipamentos e materiais para escritório, informática e comunicação",-2.1,-2.4,0,-6.4,-7.6,-7.2,-2,-7.6,-7.4,-2,-1.4,-1.1
8. Outros artigos de uso pessoal e doméstico,-10.8,6,1.6,-5.8,-6.2,1,12.7,-6.2,-3,12.7,11.3,11.2
Volume de vendas do comércio varejista ampliado (6),0,0.2,2,-2.7,-1.5,0.3,4.5,-1.5,-0.6,4.5,4.6,4.8
"9. Veículos, motocicletas, partes e peças",0.1,-6.6,5.2,0.4,1.7,1.4,14.9,1.7,1.5,14.9,16.9,17.4
10. Material de construção,-1.4,-0.5,-0.4,-8.2,-8,-8,4.4,-8,-8,4.4,2.9,1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
