Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 8 - Indicadores de Receita Nominal de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Fevereiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,DEZ,JAN,FEV,DEZ,JAN,FEV,JAN-DEZ,JAN-JAN,JAN-FEV,Até DEZ,Até JAN,Até FEV
Brasil ,0.2,2.1,2.9,10.4,12,14.5,18,12,13.2,18,18.4,18.8
Rondônia,-0.8,2.2,5.8,7.7,13.3,13.7,21,13.3,13.5,21,22,21.9
Acre,-3.7,1.6,7.1,0.8,5.7,21.6,15.6,5.7,13.2,15.6,15.5,17.2
Amazonas,1.2,-4.7,3.1,5.8,42.9,25.1,11.8,42.9,33.6,11.8,16.2,18.3
Roraima,1.2,3.5,4.1,19.2,22.2,26.5,25,22.2,24.3,25,25.4,26
Pará,0.6,1.9,4,9.6,14.1,19.1,20.7,14.1,16.5,20.7,20.6,20.9
Amapá,-2.4,-3.4,7.8,1.2,1,12.6,19.5,1,6.5,19.5,18.2,17.8
Tocantins,7.1,-3.1,3.5,27.6,16.6,24.5,15.1,16.6,20.5,15.1,15.7,17.6
Maranhão,0.2,1.6,4,6.5,7,14.3,15.8,7,10.5,15.8,15.1,15
Piauí,0.5,-0.8,3.2,7.6,12.3,8.3,26.5,12.3,10.3,26.5,26.6,25.3
Ceará,-2.3,2.6,1.2,12,18.7,15.7,20.3,18.7,17.3,20.3,21.7,22.2
Rio Grande do Norte,3.5,-1.2,2.2,11.3,7.6,8.3,16.9,7.6,7.9,16.9,16.8,16.6
Paraíba,-1.6,5.1,3.3,2.5,6.8,13,14.5,6.8,9.8,14.5,14.5,15
Pernambuco,-0.9,3.1,-10,19,24.3,6.1,29,24.3,15.4,29,30.1,28.9
Alagoas,-3.3,5.6,3.4,6,11.8,17,17.4,11.8,14.3,17.4,17.8,18.6
Sergipe,-1.9,6.8,5,5.5,12.3,17.7,17.7,12.3,14.9,17.7,17.9,18.6
Bahia,-1.8,5.7,-0.4,9.9,20.2,12.1,21,20.2,16.2,21,22.4,22.9
Minas Gerais,-0.3,0.5,4.5,13.3,6.8,16.7,19.3,6.8,11.6,19.3,18.3,18.4
Espírito Santo,3.5,1.4,0,23,18.6,14.5,27.1,18.6,16.5,27.1,27.6,27
Rio de Janeiro,-1.8,1.7,1.7,5.4,8.8,11.4,13,8.8,10.1,13,13.4,14.1
São Paulo,0.1,1.6,3.4,6.2,7.8,11.9,15.2,7.8,9.8,15.2,15.3,15.4
Paraná,0.5,2.5,2.2,10.2,11.9,13.3,17.1,11.9,12.6,17.1,17.5,17.8
Santa Catarina,0.7,2.6,3.2,19.5,20.7,24.8,24.7,20.7,22.7,24.7,25.5,26.6
Rio Grande do Sul,-0.3,-0.4,2.1,14.7,12.9,16.2,18.3,12.9,14.5,18.3,19.5,20.8
Mato Grosso do Sul,1,-0.5,7,22.3,19.8,28.7,26.6,19.8,24.2,26.6,27.3,28.5
Mato Grosso,1.2,2.7,4,13.9,21.8,19.7,19.7,21.8,20.7,19.7,21.2,22.2
Goiás,3.5,1.9,0.8,21.5,19.6,17.5,23.4,19.6,18.6,23.4,24.8,25.3
Distrito Federal,-1.4,2,4.7,4.4,7.1,13.5,12.6,7.1,10.2,12.6,13.6,14.8
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
