Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 7 - Indicadores de Receita Nominal de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Fevereiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,DEZ,JAN,FEV,DEZ,JAN,FEV,JAN-DEZ,JAN-JAN,JAN-FEV,Até DEZ,Até JAN,Até FEV
Brasil ,0.3,2.3,2.3,8.9,11,14.3,13.9,11,12.6,13.9,14,14.7
Rondônia,-6,5.9,4.4,4.6,16.8,13.7,14.8,16.8,15.2,14.8,16.8,17.7
Acre,-5.3,1.7,3.8,4.4,5.6,23.6,13.8,5.6,13.8,13.8,13.6,15.9
Amazonas,-1.5,-1.8,2.6,6.6,40.4,27.2,10.9,40.4,33.6,10.9,14.8,17.1
Roraima,0.6,1.8,3.1,17.2,21.8,30.1,20.2,21.8,25.8,20.2,20.8,22.2
Pará,-1.4,3.7,3.9,8.7,12.7,18.4,18.3,12.7,15.4,18.3,17.8,18.1
Amapá,-2.3,-2.7,8.2,5.1,3.7,14.5,21.6,3.7,8.9,21.6,20.4,20
Tocantins,3.1,2.8,-3.5,16.1,13.1,11.4,2.3,13.1,12.2,2.3,2.8,4.9
Maranhão,-1.3,2.5,3.7,6.7,7.8,14.7,10.5,7.8,11.1,10.5,10.1,10.4
Piauí,1.3,1.4,3.1,9.9,14.8,5.7,23,14.8,10.2,23,22.9,21.2
Ceará,-2,2.7,4.6,4.1,8.9,14.2,8.9,8.9,11.4,8.9,9.4,10.2
Rio Grande do Norte,1.6,-0.9,4.1,8.9,6.2,11.4,13.3,6.2,8.7,13.3,13.1,13.6
Paraíba,0.8,2.2,2.4,2.8,5.2,9.5,7.7,5.2,7.2,7.7,7.6,8.2
Pernambuco,-3.6,4.1,1.2,0.9,5.2,5.1,13.5,5.2,5.1,13.5,13.1,12.5
Alagoas,-1.4,4,1.4,4.7,14.3,14.2,10.7,14.3,14.2,10.7,11.6,12.7
Sergipe,0.5,0.6,3.3,3,5.2,6.7,9.1,5.2,5.9,9.1,9.1,9.3
Bahia,-0.9,5.7,3.9,2.9,9.5,13.7,12.3,9.5,11.5,12.3,12.8,13.7
Minas Gerais,-0.7,1.5,3.8,11,5,15.3,16,5,9.9,16,14.5,14.8
Espírito Santo,0.5,3.4,4.2,15.3,18.2,23.6,18.8,18.2,20.8,18.8,19.2,20.2
Rio de Janeiro,-3.3,4.7,1.9,3.3,8.5,12.5,9.6,8.5,10.4,9.6,9.8,10.7
São Paulo,0.2,2.5,2,8.5,10.4,12.1,14.3,10.4,11.2,14.3,14.2,14.4
Paraná,-0.2,2.9,3.8,11.5,13,16.6,13.9,13,14.8,13.9,14.4,15.3
Santa Catarina,0.6,0.6,3.3,14.9,16.2,18.2,16.4,16.2,17.1,16.4,16.9,17.8
Rio Grande do Sul,-0.1,1.2,1.8,15.9,16.7,19.4,16.4,16.7,18,16.4,17.9,19.7
Mato Grosso do Sul,-0.2,2.2,4.5,17.2,16.6,22.5,20.4,16.6,19.5,20.4,21.1,22.2
Mato Grosso,-2.4,1.8,3.3,10.8,25,17.8,13,25,21.3,13,15.3,16.8
Goiás,0.3,2.4,2.8,9,8.1,11.1,12.1,8.1,9.6,12.1,12.5,13.1
Distrito Federal,-3.9,0.4,9.8,7.1,6.8,18.1,7.5,6.8,12.2,7.5,8.4,10.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
