Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 7 - Indicadores de Receita Nominal de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Brasil ,2.7,2.6,2.9,11,14.3,18.1,11,12.6,14.5,14,14.7,15
Rondônia,6,4.4,2,16.8,13.6,18.1,16.8,15.1,16.2,16.8,17.6,16.8
Acre,1.9,3.9,1.4,5.6,23.6,12.4,5.6,13.8,13.3,13.6,15.9,14.9
Amazonas,-2.2,3.1,0.5,40.4,27.3,2.5,40.4,33.7,21,14.8,17.1,14.7
Roraima,1.9,3.7,4.9,21.8,30.2,25,21.8,25.8,25.5,20.8,22.2,21.6
Pará,4,3.7,-0.6,12.7,18.5,27,12.7,15.4,19.3,17.8,18.1,18.7
Amapá,-3.1,9.4,4.9,3.7,14.5,32.9,3.7,8.9,16.3,20.4,20,21
Tocantins,2.7,-3.5,-0.1,13.1,11.4,18.5,13.1,12.2,14.4,2.8,4.9,7.7
Maranhão,2,4.8,1.8,7.8,14.8,16.8,7.8,11.2,13.1,10.1,10.4,10.1
Piauí,2.1,3.2,3.1,14.8,5.6,19.6,14.8,10.1,13.3,22.9,21.2,20.6
Ceará,2.8,4.7,-0.7,8.9,14.3,33.4,8.9,11.5,18.2,9.4,10.2,12.4
Rio Grande do Norte,-1.5,4.8,2.2,6.2,11.5,16.1,6.2,8.8,11.3,13.1,13.6,13.8
Paraíba,2.3,2.6,2.2,5.2,9.5,13.9,5.2,7.2,9.5,7.6,8.2,8.6
Pernambuco,4.5,1.2,11.3,5.2,5.4,16.1,5.2,5.3,8.9,13.1,12.6,12.5
Alagoas,4.9,2.1,3.2,14.3,14.2,17.9,14.3,14.3,15.5,11.6,12.7,13
Sergipe,1.4,2.9,4.5,5.2,6.7,11.4,5.2,5.9,7.8,9.1,9.3,9
Bahia,5.3,4.3,0.2,9.5,13.6,21.4,9.5,11.5,14.8,12.8,13.7,14.6
Minas Gerais,0,5.8,3.1,5,15.3,19.4,5,9.9,13.1,14.5,14.8,15
Espírito Santo,3.5,3.7,2.7,18.2,22.5,23.5,18.2,20.3,21.4,19.2,20.1,20.4
Rio de Janeiro,4.8,2.2,0.9,8.5,12.5,9.7,8.5,10.4,10.2,9.8,10.7,10.3
São Paulo,3.1,2.5,4.4,10.4,12.2,16,10.4,11.3,12.9,14.2,14.4,14.7
Paraná,3.1,3.2,3,13,15.6,20.7,13,14.3,16.5,14.4,15.2,16.1
Santa Catarina,1,3.1,4,16.2,18.2,22.7,16.2,17.2,19,16.9,17.8,18.1
Rio Grande do Sul,1.5,1.7,1.9,16.7,19.5,19.8,16.7,18.1,18.7,17.9,19.7,20.5
Mato Grosso do Sul,2,5,4.4,16.6,22.5,24.7,16.6,19.5,21.3,21.1,22.2,22.5
Mato Grosso,2.1,3.8,3.3,25,17.8,20.1,25,21.3,20.9,15.3,16.8,17.5
Goiás,2.4,2.9,12.6,8.1,11.2,25.5,8.1,9.6,14.9,12.5,13.1,14.5
Distrito Federal,0.4,9.9,0.9,6.8,18.1,35.3,6.8,12.2,19.8,8.4,10.6,13.8
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
