Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 1 - Indicadores do Volume de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Abril 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,FEV,MAR,ABR,FEV,MAR,ABR,JAN-FEV,JAN-MAR,JAN-ABR,Até FEV,Até MAR,Até ABR
Volume de vendas do comércio varejista (5),1.4,1.4,0.9,1.3,4.9,4.5,-0.2,1.6,2.3,1.7,1.9,0.8
1. Combustíveis e lubrificantes,6.2,5.5,-0.1,0.1,12.3,9.7,-3.6,1.7,3.7,1.3,2.5,1.9
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",1.1,-0.1,-1.1,2,-3.4,4,0.5,-0.9,0.4,-2.3,-2.3,-1.8
2.1. Hipermercados e supermercados,1,0,-1.4,1.5,-3.8,4,0.1,-1.2,0.1,-2.3,-2.3,-1.9
"3. Tecidos, vestuário e calçados",2.5,0.2,1.7,8.2,81.3,33.9,5.2,24.1,26.7,18.6,23.5,19.4
4. Móveis e eletrodomésticos,1.9,1.2,2.3,-13.3,7.2,-8.7,-12.3,-6.3,-6.9,-8.5,-8.7,-12
4.1. Móveis,-,-,-,-5.5,8.3,-6.7,-6.6,-1.9,-3.2,-2.9,-3.3,-7
4.2. Eletrodomésticos,-,-,-,-17.1,6.4,-10.2,-15,-8.5,-8.9,-11.1,-11.1,-14.3
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",-4.6,-4.3,0.4,9.5,3.6,3.5,11.9,8.9,7.6,10,9.2,7.2
"6. Livros, jornais, revistas e papelaria",85.7,3.6,-5.6,18.8,40.6,-0.9,21.2,25.8,20.4,5,9.7,5.8
"7. Equipamentos e materiais para escritório, informática e comunicação",-1.1,14.6,-6.7,-8,16.5,-0.5,-7.8,0.2,0,-1.2,0.2,-2.3
8. Outros artigos de uso pessoal e doméstico,1,1.2,0.1,1.1,8.9,1.5,-2.9,0.9,1,11.2,9.9,5.7
Volume de vendas do comércio varejista ampliado (6),2.4,0.1,0.7,0.3,5.3,1.5,-0.6,1.4,1.4,4.8,4.5,2.2
"9. Veículos, motocicletas, partes e peças",5.3,0.6,-0.2,1.2,8.5,-2.1,1.4,3.9,2.3,17.4,15.9,10
10. Material de construção,0.7,1.6,-2,-7.9,1.2,-10.1,-8,-4.8,-6.1,1,-1,-4.1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
