Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 3- Indicadores do Volume de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Fevereiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,DEZ,JAN,FEV,DEZ,JAN,FEV,JAN-DEZ,JAN-JAN,JAN-FEV,Até DEZ,Até JAN,Até FEV
Brasil ,0,0.2,2,-2.7,-1.5,0.3,4.5,-1.5,-0.6,4.5,4.6,4.8
Rondônia,0.4,-1.3,5.1,-3.5,1.5,1.8,11.1,1.5,1.7,11.1,11.5,11
Acre,-3.9,-1.2,8.4,-9.4,-5.8,11.6,4.4,-5.8,2.2,4.4,3.9,5.4
Amazonas,0,-4.1,1.7,-3.7,34.7,16.5,-0.5,34.7,25.1,-0.5,3.8,6.1
Roraima,-0.8,0,3.6,4.9,8.2,13,10.7,8.2,10.5,10.7,10.7,11.2
Pará,0.1,1.1,3,0,3.5,7.9,9.4,3.5,5.6,9.4,9.2,9.4
Amapá,-2.7,-6.2,8.7,-12.1,-12.9,-2,7,-12.9,-7.8,7,5.1,4.3
Tocantins,7.8,-6.6,3.8,12.1,-0.2,7.3,3.6,-0.2,3.5,3.6,3.4,4.4
Maranhão,-0.2,0,3.2,-6,-5.7,1.4,2.3,-5.7,-2.3,2.3,1.5,1.4
Piauí,0,-2.3,2.9,-5.7,-1.7,-3,12.6,-1.7,-2.3,12.6,12.4,11.3
Ceará,-1.5,0.4,0.2,-1.4,4.1,1.5,7.2,4.1,2.8,7.2,8.1,8.3
Rio Grande do Norte,2.9,-2.1,1.6,-2.4,-6,-5.2,2.5,-6,-5.6,2.5,2.3,1.9
Paraíba,-2.1,3.8,2.6,-11.2,-7.2,-1.9,2,-7.2,-4.7,2,1.6,1.8
Pernambuco,-1,1.5,-14.1,7.5,12.6,-8,17.9,12.6,2.5,17.9,18.8,17.3
Alagoas,-3.9,4.3,2.9,-7.6,-2.5,2.5,4.4,-2.5,-0.1,4.4,4.5,5
Sergipe,-3.2,6.8,3.4,-8.5,-1.5,3.9,6.1,-1.5,1.1,6.1,5.8,6.1
Bahia,-1.5,3.3,-2.5,-4.8,4.5,-4.4,7.3,4.5,0.2,7.3,8.2,8.2
Minas Gerais,-1.1,-0.8,3.4,0.5,-6.1,2.5,5.4,-6.1,-2,5.4,4.3,4.3
Espírito Santo,3.4,-0.9,-1.9,9.4,5.2,0,13.6,5.2,2.6,13.6,14,13.2
Rio de Janeiro,-1.8,0,0.7,-4.6,-1.5,-0.6,2.3,-1.5,-1.1,2.3,2.7,3.3
São Paulo,0.5,0,2.7,-6.7,-5.4,-1.9,1.7,-5.4,-3.7,1.7,1.7,1.7
Paraná,0.8,1.3,0.9,-4.5,-3,-2.3,1.8,-3,-2.7,1.8,1.7,1.7
Santa Catarina,0,2.2,1.7,2.8,4.6,7.7,8.7,4.6,6.1,8.7,9,9.6
Rio Grande do Sul,0.6,-1.2,2.4,1.2,-0.3,3.3,4,-0.3,1.4,4,4.8,5.8
Mato Grosso do Sul,1.3,-3.3,7.1,7.3,2.3,11.6,11.6,2.3,6.9,11.6,11.5,12
Mato Grosso,1.1,-0.4,3,0.6,3.3,3.3,6.4,3.3,3.3,6.4,6.7,6.9
Goiás,3.2,-0.5,-0.4,8.2,4,1.7,10.1,4,2.9,10.1,10.8,10.7
Distrito Federal,-2.5,0.6,3.8,-11.3,-8.9,-3,-2.2,-8.9,-6.1,-2.2,-1.9,-1.3
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
