Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 2 - Indicadores do Volume de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Fevereiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,DEZ,JAN,FEV,DEZ,JAN,FEV,JAN-DEZ,JAN-JAN,JAN-FEV,Até DEZ,Até JAN,Até FEV
Brasil ,-2.6,2.1,1.1,-2.9,-1.5,1.3,1.4,-1.5,-0.1,1.4,1.3,1.7
Rondônia,0.7,-0.6,8,-4.5,6.5,4.5,7,6.5,5.4,7,8.2,8.6
Acre,-3.7,-1.4,5.9,-4.7,-5.3,16.5,3.3,-5.3,4.4,3.3,2.6,4.7
Amazonas,-0.7,-2.2,1.8,-1.3,35.7,21.5,-1.2,35.7,28.4,-1.2,2.8,5.4
Roraima,0.1,0.9,4.7,3,7.5,17.8,6.2,7.5,12.4,6.2,6.2,7.5
Pará,-0.4,1.7,2.5,0.5,3.3,9.4,7.1,3.3,6.2,7.1,6.5,6.9
Amapá,-2.3,-4.3,8,-8.5,-10.8,0.3,8.5,-10.8,-5.5,8.5,6.6,5.8
Tocantins,3.6,-1.1,-3.7,3.1,-0.9,-2.3,-7.3,-0.9,-1.6,-7.3,-7.6,-6.3
Maranhão,-1.9,0.5,4,-5.4,-4.6,2,-1.8,-4.6,-1.5,-1.8,-2.3,-2.1
Piauí,1.1,-0.2,0.8,-3.4,0.8,-5,10,0.8,-2.1,10,9.5,8
Ceará,-0.9,-0.7,2.9,-8.8,-4.5,1.2,-3.3,-4.5,-1.8,-3.3,-3.3,-2.7
Rio Grande do Norte,1.9,-1.8,3.2,-5.1,-7.7,-2.3,-0.8,-7.7,-5.1,-0.8,-1.3,-1
Paraíba,-0.1,1.7,2.1,-9.3,-6.9,-2.7,-4,-6.9,-4.9,-4,-4.3,-3.9
Pernambuco,-5.3,3.1,0.5,-11.5,-7.7,-7.7,1.3,-7.7,-7.7,1.3,0.5,-0.2
Alagoas,-2,3.4,1.4,-8,1,1.4,-1,1,1.2,-1,-0.5,0.3
Sergipe,-0.1,0.4,1.9,-11.2,-8.9,-7,-3.8,-8.9,-8,-3.8,-4.3,-4.4
Bahia,-2.6,4.2,2.3,-12.7,-7.6,-3.3,-0.6,-7.6,-5.5,-0.6,-1,-0.8
Minas Gerais,-2.1,-0.9,3.8,-0.4,-7,2,3.1,-7,-2.8,3.1,1.6,1.7
Espírito Santo,0.8,1.8,2.9,3.7,6.8,10.7,6.8,6.8,8.7,6.8,7.1,7.8
Rio de Janeiro,-2.7,3.8,0.6,-6.1,-1,0.9,-0.5,-1,-0.1,-0.5,-0.3,0.4
São Paulo,-0.6,0.9,1.7,-2.5,-1.1,-0.3,2.2,-1.1,-0.7,2.2,2.1,2.2
Paraná,0.3,0.5,2.2,-2.4,-2,0.7,-0.4,-2,-0.7,-0.4,-0.4,-0.1
Santa Catarina,1.2,-0.7,1.8,-0.8,0.4,1.5,1.5,0.4,1,1.5,1.5,1.9
Rio Grande do Sul,-0.9,0.1,1.1,3.8,5.2,8.6,2.9,5.2,6.8,2.9,4,5.6
Mato Grosso do Sul,0.2,-1.7,5.4,4.1,0.5,7.1,5.6,0.5,3.7,5.6,5.6,6.1
Mato Grosso,-1.8,-1.1,2.1,-1.3,5.8,2.9,-0.6,5.8,4.3,-0.6,0.4,1.2
Goiás,1.1,0.3,1.9,-2.3,-5.2,-2.3,-0.5,-5.2,-3.8,-0.5,-0.7,-0.5
Distrito Federal,-4.7,1.6,4.7,-7,-8.1,2.3,-5,-8.1,-3.2,-5,-5,-3.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
