Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 6 - Indicadores de Receita Nominal de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Maio 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,MAR,ABR,MAI,MAR,ABR,MAI,JAN-MAR,JAN-ABR,JAN-MAI,Até MAR,Até ABR,Até MAI
Receita de vendas do comércio varejista (5),7.4,1,0.4,19.3,22.3,17,14.9,16.8,16.8,15.1,14.5,13.6
1. Combustíveis e lubrificantes,12.5,2.2,3.5,44.2,46.7,38.5,37.8,40.1,39.8,44.9,44,41.5
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",2.3,1.2,4.1,9.4,20.1,15.3,9.6,12.3,12.9,9,9.8,10.4
2.1. Hipermercados e supermercados,2.4,1.1,4.1,8.7,19.7,14.8,9.2,11.8,12.4,8.9,9.7,10.2
"3. Tecidos, vestuário e calçados",2.4,1.6,5.7,105.9,53.1,25.6,39.2,43,37.8,32.6,29.4,23.7
4. Móveis e eletrodomésticos,1.4,3.7,-1.9,21.8,5.3,-0.1,6.3,6.1,4.7,2.4,-0.9,-3.2
4.1. Móveis,-,-,-,24.3,7.8,4.5,11.5,10.6,9.2,8.1,4.6,2.1
4.2. Eletrodomésticos,-,-,-,20.8,4.2,-2,4.3,4.3,2.9,0.3,-3,-5.3
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",-1.8,3.8,5,12.5,15.4,22.8,16.6,16.3,17.6,14.7,13.3,13.3
"6. Livros, jornais, revistas e papelaria",13.8,-22.5,13,50.7,5.1,34.8,32.7,27.1,28.3,13.7,10,9.7
"7. Equipamentos e materiais para escritório, informática e comunicação",13.2,-3.9,1.8,20.2,4.1,7.5,3.2,3.4,4.3,4.3,1.3,-0.8
8. Outros artigos de uso pessoal e doméstico,-0.7,1.6,-1.5,22.6,14.8,5.6,13.1,13.6,11.7,20.2,16.2,12.5
Receita de vendas do comércio varejista ampliado (6),0.7,1.3,1.7,20.5,18.8,15.9,15.7,16.5,16.4,18.7,16.8,15.1
"9. Veículos, motocicletas, partes e peças",1.2,0.6,0.9,27,14.7,17.8,21.8,19.9,19.5,32.3,26.3,22.3
10. Material de construção,2.3,-1.1,0.4,16.2,3.5,5.7,10.3,8.6,7.9,20.3,16,12.7
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas  ",,,,,,,,,,,,
(1) Base: mês imediatamente anterior -série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
