Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 3- Indicadores do Volume de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Brasil ,0.4,2.1,0.7,-1.5,0.3,4.5,-1.5,-0.6,1.1,4.6,4.8,4.4
Rondônia,-1.4,5.2,-0.7,1.5,1.9,5,1.5,1.7,2.9,11.5,11,8.9
Acre,-1.1,8,-2,-5.8,11.7,0.6,-5.8,2.2,1.6,3.9,5.4,3.8
Amazonas,-3.8,1.1,-2,34.7,16.7,-9.6,34.7,25.2,10.7,3.8,6.1,3.2
Roraima,0,3.7,0.8,8.2,13.1,12.1,8.2,10.6,11.1,10.7,11.2,10.1
Pará,1.1,3,0.5,3.5,7.7,13.5,3.5,5.5,8.2,9.2,9.4,9.5
Amapá,-5.9,9.4,3.7,-12.9,-1.9,14.9,-12.9,-7.8,-1,5.1,4.3,4.4
Tocantins,-6.2,4.2,-0.6,-0.2,8,15.3,-0.2,3.9,7.8,3.4,4.4,5.7
Maranhão,-0.2,3.6,-0.4,-5.7,1.6,1.7,-5.7,-2.2,-0.9,1.5,1.4,0
Piauí,-3.7,5.3,4,-1.7,-3.1,10.2,-1.7,-2.4,1.8,12.4,11.3,10.5
Ceará,0.3,0.2,-3.1,4.1,1.5,10,4.1,2.8,5.2,8.1,8.3,8.4
Rio Grande do Norte,-2.2,1.9,-0.2,-6,-5.2,2.3,-6,-5.6,-3,2.3,1.9,1.5
Paraíba,4.1,2.7,0.6,-7.2,-1.8,1.8,-7.2,-4.7,-2.5,1.6,1.8,1
Pernambuco,1.5,-14,3.8,12.6,-7.8,-4.1,12.6,2.6,0.3,18.8,17.4,15
Alagoas,4.5,3.1,1.8,-2.5,2.5,5.6,-2.5,-0.1,1.8,4.5,5,4.3
Sergipe,7,3.1,-0.5,-1.5,4,5.1,-1.5,1.1,2.5,5.8,6.1,4.9
Bahia,3.2,-2.5,-0.8,4.5,-4.4,6.2,4.5,0.2,2.2,8.2,8.2,8
Minas Gerais,-1.5,4.2,0.6,-6.1,2.5,6,-6.1,-2,0.7,4.3,4.3,4.1
Espírito Santo,-0.7,-3.8,11.9,5.2,-0.5,10,5.2,2.4,5.1,14,13.2,11.9
Rio de Janeiro,0,0.8,0.4,-1.5,-0.7,-1.6,-1.5,-1.1,-1.3,2.7,3.3,2.4
São Paulo,0.2,2.8,1.5,-5.4,-1.8,4.2,-5.4,-3.6,-1,1.7,1.7,1.9
Paraná,1.3,0.4,1.2,-3,-3.1,-0.5,-3,-3,-2.2,1.7,1.6,0.7
Santa Catarina,2.2,1.7,0.1,4.6,7.7,8.2,4.6,6.1,6.8,9,9.6,8.4
Rio Grande do Sul,-1.3,2.5,-2.1,-0.3,3.2,7.4,-0.3,1.4,3.5,4.8,5.8,5.8
Mato Grosso do Sul,-3.3,7.2,-0.3,2.3,11.6,7.2,2.3,6.9,7,11.5,12,11
Mato Grosso,-0.5,2.8,-0.7,3.3,2.8,2.6,3.3,3.1,2.9,6.7,6.9,5.8
Goiás,-0.4,-1.9,7.4,4,1.4,19.1,4,2.7,8.2,10.8,10.7,11.8
Distrito Federal,0.6,3.7,-1,-8.9,-3.2,4.5,-8.9,-6.2,-2.6,-1.9,-1.3,-1.1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
