Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 1 - Indicadores do Volume de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Volume de vendas do comércio varejista (5),2.3,1.3,1,-1.5,1.3,4,-1.5,-0.2,1.3,1.3,1.7,1.9
1. Combustíveis e lubrificantes,0.1,5.5,0.4,-7,0.1,6,-7,-3.6,-0.4,0.4,1.3,2
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0.3,1.5,-0.2,-1,2,-3.4,-1,0.5,-0.9,-2.8,-2.3,-2.3
2.1. Hipermercados e supermercados,0.2,1.1,0.2,-1.1,1.5,-3.8,-1.1,0.1,-1.2,-2.7,-2.3,-2.3
"3. Tecidos, vestuário e calçados",6.5,2.3,0.1,2.4,8.2,81.3,2.4,5.2,24.1,16.1,18.6,23.5
4. Móveis e eletrodomésticos,-1.3,1.8,0.2,-11.4,-13.3,6.7,-11.4,-12.3,-6.5,-7.5,-8.5,-8.7
4.1. Móveis,-,-,-,-7.7,-5.5,10.1,-7.7,-6.6,-1.4,-2.3,-2.9,-3.2
4.2. Eletrodomésticos,-,-,-,-13.2,-17.1,4.9,-13.2,-15,-8.9,-9.7,-11.1,-11.2
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",8.3,-4.8,-5.9,14.2,9.5,1.5,14.2,11.9,8.2,9.9,10,9
"6. Livros, jornais, revistas e papelaria",-40.8,90.6,4.7,23.2,18.8,36.1,23.2,21.2,24.7,-4,5,9.4
"7. Equipamentos e materiais para escritório, informática e comunicação",-2.2,-1.6,13.9,-7.6,-8,16.2,-7.6,-7.8,0.1,-1.4,-1.2,0.2
8. Outros artigos de uso pessoal e doméstico,7,3.4,3.4,-6.2,1.1,8.9,-6.2,-2.9,0.9,11.3,11.2,9.9
Volume de vendas do comércio varejista ampliado (6),0.4,2.1,0.7,-1.5,0.3,4.5,-1.5,-0.6,1.1,4.6,4.8,4.4
"9. Veículos, motocicletas, partes e peças",-6.5,5.2,-0.1,1.7,1.2,7.3,1.7,1.4,3.5,16.9,17.4,15.8
10. Material de construção,-0.2,1.2,2.2,-8,-7.9,1.2,-8,-8,-4.8,2.9,1,-1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
