,registro,classe_comercio,ano_mes,m3mensal
0,1,1. Combustíveis e lubrificantes,202201,141.5
1,2,"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",202201,153.8
2,3,2.1. Hipermercados e supermercados,202201,156.5
3,4,"3. Tecidos, vestuário e calçados",202201,95.5
4,5,4. Móveis e eletrodomésticos,202201,105.5
5,6,4.1. Móveis,202201,97.5
6,7,4.2. Eletrodomésticos,202201,108.5
7,8,"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",202201,185.5
8,9,"6. Livros, jornais, revistas e papelaria",202201,38.8
9,10,"7. Equipamentos e materiais para escritório, informática e comunicação",202201,72.3
10,11,8. Outros artigos de uso pessoal e doméstico,202201,155.8
11,12,Comércio Varejista Ampliado (2),202201,138
12,13,"9. Veículos, motocicletas, partes e peças",202201,115.5
13,14,10. Material de construção,202201,169.8
14,15,,202201,nan
